@relation fitness_decision_mining

@attribute region {Africa,Asia,Europe,North_America,Oceania,South_America}
@attribute year numeric
@attribute fitness_participation_rate numeric
@attribute gym_penetration_rate numeric
@attribute urban_population_percentage numeric
@attribute obesity_rate numeric
@attribute gdp_per_capita_usd numeric
@attribute average_membership_cost_usd numeric
@attribute insufficient_physical_activity_pct numeric
@attribute membership_growth_pct numeric
@attribute participation_change numeric
@attribute inactivity_change numeric
@attribute members_per_gym numeric
@attribute revenue_per_member numeric
@attribute decision_priority {Affordable_Access_Action,Balanced_Maintenance,Capacity_Expansion,Health_Risk_Intervention,Premium_Retention}

@data
Africa,2024.000000,0.449900,0.038200,0.752800,0.242500,5752.990800,5.890000,0.290400,5.439676,0.002100,0.000000,796.817534,70.680007,Balanced_Maintenance
Africa,2025.000000,0.449900,0.038600,0.752800,0.242500,5752.990800,5.890000,0.290400,0.868162,0.000000,0.000000,796.996028,70.679980,Balanced_Maintenance
Africa,2026.000000,0.449900,0.038900,0.752800,0.242500,5752.990800,5.890000,0.290400,0.736880,0.000000,0.000000,796.890495,70.679986,Balanced_Maintenance
Africa,2000.000000,0.387300,0.005900,0.505100,0.047000,563.733800,5.000000,0.221900,0.000000,0.000000,0.000000,468.240196,59.999990,Balanced_Maintenance
Africa,2001.000000,0.393900,0.006200,0.517200,0.049600,533.586200,5.000000,0.219200,8.709080,0.006600,-0.002700,467.747748,59.999730,Balanced_Maintenance
Africa,2002.000000,0.400300,0.007000,0.528900,0.052200,999.065900,5.000000,0.216400,16.614985,0.006400,-0.002800,486.317269,60.000025,Capacity_Expansion
Africa,2003.000000,0.406500,0.008000,0.540000,0.054800,1133.663300,5.000000,0.213700,17.911853,0.006200,-0.002700,508.124555,59.999902,Capacity_Expansion
Africa,2004.000000,0.412400,0.009700,0.550400,0.057400,1451.471200,5.000000,0.211000,25.795788,0.005900,-0.002700,552.661538,60.000100,Capacity_Expansion
Africa,2005.000000,0.418000,0.012400,0.560000,0.059900,2145.886200,5.000000,0.208300,33.499429,0.005600,-0.002700,621.204663,60.000092,Capacity_Expansion
Africa,2006.000000,0.423300,0.015100,0.568900,0.062500,2930.444300,5.000000,0.205600,26.161353,0.005300,-0.002700,676.769575,60.000030,Capacity_Expansion
Africa,2007.000000,0.428500,0.017200,0.577600,0.064900,3515.056800,5.000000,0.203000,18.285314,0.005200,-0.002600,709.984127,60.000006,Capacity_Expansion
Africa,2008.000000,0.433600,0.020200,0.585900,0.067400,4578.155300,5.420000,0.200300,21.756858,0.005100,-0.002700,756.397569,65.040006,Capacity_Expansion
Africa,2009.000000,0.438600,0.019400,0.593800,0.069700,3645.148500,5.040000,0.197500,-0.066562,0.005000,-0.002800,716.110197,60.479994,Balanced_Maintenance
Africa,2010.000000,0.443400,0.021400,0.601300,0.072000,4101.637200,5.230000,0.194800,14.740638,0.004800,-0.002700,736.836283,62.759940,Capacity_Expansion
Africa,2011.000000,0.448000,0.024700,0.608400,0.074300,5184.152700,5.660000,0.192200,19.546014,0.004600,-0.002600,778.646675,67.920057,Capacity_Expansion
Africa,2012.000000,0.452500,0.026800,0.615100,0.076500,5702.453100,5.870000,0.189600,12.883819,0.004500,-0.002600,795.008255,70.439977,Capacity_Expansion
Africa,2013.000000,0.456600,0.028000,0.621300,0.078800,5688.579200,5.870000,0.187200,8.557079,0.004100,-0.002400,794.631922,70.439975,Balanced_Maintenance
Africa,2014.000000,0.460500,0.029100,0.627200,0.081200,5649.687600,5.850000,0.184900,7.942000,0.003900,-0.002300,793.949749,70.200003,Balanced_Maintenance
Africa,2015.000000,0.465300,0.025700,0.635200,0.083800,3641.728900,5.040000,0.182800,-8.567306,0.004800,-0.002100,715.857284,60.480007,Balanced_Maintenance
Africa,2016.000000,0.469900,0.020900,0.643000,0.086500,2051.814600,5.000000,0.180900,-15.595736,0.004600,-0.001900,613.949648,60.000015,Balanced_Maintenance
Africa,2017.000000,0.474400,0.024800,0.650900,0.089300,2790.718900,5.000000,0.179200,22.870096,0.004500,-0.001700,668.224799,60.000003,Capacity_Expansion
Africa,2018.000000,0.478900,0.025900,0.658700,0.092200,2860.093600,5.000000,0.177600,8.049608,0.004500,-0.001600,672.799667,60.000021,Balanced_Maintenance
Africa,2019.000000,0.483200,0.025200,0.666600,0.095300,2493.678800,5.000000,0.176300,0.612693,0.004300,-0.001300,648.357484,60.000025,Balanced_Maintenance
Africa,2020.000000,0.487500,0.017300,0.674600,0.098500,1759.356200,5.000000,0.175100,-29.057749,0.004300,-0.001200,586.506599,59.999953,Balanced_Maintenance
Africa,2021.000000,0.491700,0.023100,0.682500,0.101900,2303.908100,5.000000,0.174100,37.828215,0.004200,-0.001000,634.458964,60.000016,Capacity_Expansion
Africa,2022.000000,0.495800,0.030400,0.690500,0.105400,3682.113200,5.060000,0.173300,36.145990,0.004100,-0.000800,717.918543,60.719986,Capacity_Expansion
Africa,2023.000000,0.499500,0.029500,0.698500,0.105400,2916.136600,5.000000,0.173300,-0.028596,0.003700,0.000000,676.496255,59.999977,Balanced_Maintenance
Africa,2024.000000,0.503100,0.029000,0.706600,0.105400,2665.874400,5.000000,0.173300,1.233775,0.003600,0.000000,660.516556,60.000026,Balanced_Maintenance
Africa,2025.000000,0.503100,0.029200,0.706600,0.105400,2665.874400,5.000000,0.173300,0.868184,0.000000,0.000000,660.288186,59.999990,Balanced_Maintenance
Africa,2026.000000,0.503100,0.029400,0.706600,0.105400,2665.874400,5.000000,0.173300,0.736913,0.000000,0.000000,660.425355,59.999975,Balanced_Maintenance
South_America,2000.000000,0.469300,0.041000,0.891800,0.182000,7637.014900,8.390000,0.339500,0.000000,0.000000,0.000000,996.590731,100.680015,Balanced_Maintenance
South_America,2001.000000,0.469000,0.041300,0.893700,0.188100,7141.475100,8.140000,0.340800,1.869035,-0.000300,0.001300,982.509792,97.680029,Balanced_Maintenance
South_America,2002.000000,0.468800,0.029900,0.895600,0.194200,2569.699600,5.820000,0.342200,-26.973477,-0.000200,0.001400,768.985105,69.839972,Balanced_Maintenance
South_America,2003.000000,0.468500,0.034100,0.897500,0.200400,3320.477800,6.200000,0.343500,15.207727,-0.000300,0.001300,822.967925,74.399981,Capacity_Expansion
South_America,2004.000000,0.468200,0.038600,0.899400,0.206700,4242.021000,6.670000,0.344900,14.423176,-0.000300,0.001400,874.050788,80.040001,Capacity_Expansion
South_America,2005.000000,0.467800,0.042600,0.901200,0.213100,5067.653400,7.090000,0.346300,11.681090,-0.000400,0.001400,911.250136,85.080013,Capacity_Expansion
South_America,2006.000000,0.467400,0.046700,0.903000,0.219700,5869.380300,7.490000,0.347800,10.539643,-0.000400,0.001500,941.610800,89.879990,Capacity_Expansion
South_America,2007.000000,0.467000,0.051900,0.904800,0.226400,7185.251600,8.160000,0.349300,12.444938,-0.000400,0.001500,984.096591,97.920014,Capacity_Expansion
South_America,2008.000000,0.466400,0.058000,0.906500,0.233300,8944.110300,9.060000,0.350900,12.852168,-0.000600,0.001600,1029.645742,108.719984,Balanced_Maintenance
South_America,2009.000000,0.465800,0.058900,0.908200,0.240500,8150.235300,8.650000,0.352700,2.647543,-0.000600,0.001800,1010.336551,103.800020,Balanced_Maintenance
South_America,2010.000000,0.465000,0.065900,0.909900,0.248000,10260.131300,9.730000,0.354500,13.061963,-0.000800,0.001800,1058.365474,116.760000,Balanced_Maintenance
South_America,2011.000000,0.464000,0.073100,0.911100,0.255800,12704.283200,10.970000,0.356500,12.061242,-0.001000,0.002000,1102.833333,131.639987,Balanced_Maintenance
South_America,2012.000000,0.462800,0.076500,0.912000,0.264000,12949.717500,11.090000,0.358600,5.711116,-0.001200,0.002100,1106.986268,133.079984,Health_Risk_Intervention
South_America,2013.000000,0.461500,0.079400,0.913000,0.272400,12963.675800,11.100000,0.360900,4.907415,-0.001300,0.002300,1107.331588,133.199998,Health_Risk_Intervention
South_America,2014.000000,0.460200,0.080900,0.914000,0.281200,12233.144400,10.730000,0.363200,2.941295,-0.001300,0.002300,1095.094025,128.759998,Health_Risk_Intervention
South_America,2015.000000,0.458700,0.086300,0.914900,0.290300,13679.626500,11.460000,0.365700,7.708565,-0.001500,0.002500,1118.319022,137.520005,Health_Risk_Intervention
South_America,2016.000000,0.457200,0.087000,0.915900,0.299700,12699.962300,10.970000,0.368300,1.826683,-0.001500,0.002600,1102.904418,131.640017,Health_Risk_Intervention
South_America,2017.000000,0.455600,0.092800,0.916800,0.309300,14532.500900,11.900000,0.371000,7.555825,-0.001600,0.002700,1131.041300,142.800004,Health_Risk_Intervention
South_America,2018.000000,0.453900,0.089400,0.917700,0.319200,11752.799900,10.490000,0.373700,-2.778277,-0.001700,0.002700,1086.751565,125.880000,Health_Risk_Intervention
South_America,2019.000000,0.452200,0.087000,0.918600,0.329200,9955.974800,9.570000,0.376400,-2.038103,-0.001700,0.002700,1052.006991,114.839992,Health_Risk_Intervention
South_America,2020.000000,0.450500,0.066000,0.919400,0.339400,8535.599400,8.850000,0.379200,-23.795999,-0.001700,0.002800,1019.984947,106.199990,Health_Risk_Intervention
South_America,2021.000000,0.448700,0.082800,0.920300,0.349700,10738.017900,9.970000,0.382100,25.802639,-0.001800,0.002900,1067.966970,119.639995,Health_Risk_Intervention
South_America,2022.000000,0.446800,0.096400,0.921100,0.360300,13962.189400,11.610000,0.385100,16.746074,-0.001900,0.003000,1122.767949,139.319992,Health_Risk_Intervention
South_America,2023.000000,0.447100,0.102300,0.921900,0.360300,14261.846600,11.760000,0.385100,6.397970,0.000300,0.000000,1127.255988,141.120013,Health_Risk_Intervention
South_America,2024.000000,0.447400,0.102800,0.922700,0.360300,13969.783700,11.610000,0.385100,0.842958,0.000300,0.000000,1122.902008,139.320007,Health_Risk_Intervention
South_America,2025.000000,0.447400,0.103700,0.922700,0.360300,13969.783700,11.610000,0.385100,0.868137,0.000000,0.000000,1122.721867,139.319990,Health_Risk_Intervention
South_America,2026.000000,0.447400,0.104500,0.922700,0.360300,13969.783700,11.610000,0.385100,0.736884,0.000000,0.000000,1122.749294,139.319996,Health_Risk_Intervention
Asia,2000.000000,0.442900,0.012600,0.649600,0.153400,593.450600,5.000000,0.232800,0.000000,0.000000,0.000000,653.112903,60.000074,Balanced_Maintenance
Asia,2001.000000,0.442000,0.012900,0.648200,0.158100,659.589000,5.000000,0.233300,2.252241,-0.000900,0.000500,646.953125,59.999952,Balanced_Maintenance
Asia,2002.000000,0.441300,0.013300,0.647400,0.162900,742.651100,5.000000,0.233900,2.538341,-0.000700,0.000600,653.169231,60.000424,Balanced_Maintenance
Asia,2003.000000,0.440600,0.013700,0.646700,0.167600,882.030200,5.000000,0.234700,2.668645,-0.000700,0.000800,650.582090,60.000665,Balanced_Maintenance
Asia,2004.000000,0.439800,0.016200,0.646000,0.172200,1130.087900,5.000000,0.235500,17.362179,-0.000800,0.000800,700.780822,59.999472,Capacity_Expansion
Asia,2005.000000,0.439000,0.019900,0.645300,0.176800,1557.484600,5.040000,0.236400,22.133823,-0.000800,0.000900,781.000000,60.479722,Capacity_Expansion
Asia,2006.000000,0.438200,0.023500,0.644800,0.181400,2041.652700,5.280000,0.237500,17.788092,-0.000800,0.001100,855.744186,63.360206,Capacity_Expansion
Asia,2007.000000,0.437300,0.028900,0.644300,0.186100,2962.702300,5.720000,0.238600,22.076528,-0.000900,0.001100,945.694737,68.640164,Capacity_Expansion
Asia,2008.000000,0.436400,0.033300,0.643800,0.190900,3777.668600,6.120000,0.239900,14.451086,-0.000900,0.001300,998.291262,73.440238,Capacity_Expansion
Asia,2009.000000,0.435500,0.030800,0.643500,0.196100,2820.592700,5.650000,0.241300,-8.192640,-0.000900,0.001400,934.653465,67.800191,Balanced_Maintenance
Asia,2010.000000,0.434500,0.033100,0.643300,0.201400,3041.344500,5.760000,0.242700,6.899364,-0.001000,0.001400,952.009434,69.119985,Balanced_Maintenance
Asia,2011.000000,0.433600,0.035900,0.643200,0.206700,3349.553100,5.910000,0.244200,7.816634,-0.000900,0.001500,971.437500,70.919881,Balanced_Maintenance
Asia,2012.000000,0.432700,0.038100,0.643300,0.212000,3511.564000,5.990000,0.245800,5.889652,-0.000900,0.001600,984.692308,71.879879,Balanced_Maintenance
Asia,2013.000000,0.431900,0.040300,0.643600,0.217600,3680.166900,6.070000,0.247500,5.708755,-0.000800,0.001700,998.245902,72.840064,Balanced_Maintenance
Asia,2014.000000,0.431100,0.042500,0.644100,0.223700,3852.118000,6.150000,0.249200,5.177935,-0.000800,0.001700,1008.598425,73.800128,Balanced_Maintenance
Asia,2015.000000,0.430400,0.042300,0.644900,0.230300,3512.393500,5.990000,0.251100,-0.781470,-0.000700,0.001900,985.201550,71.879834,Balanced_Maintenance
Asia,2016.000000,0.429700,0.043600,0.645900,0.237100,3524.424800,5.990000,0.253000,2.725606,-0.000700,0.001900,989.053030,71.879813,Balanced_Maintenance
Asia,2017.000000,0.429100,0.046500,0.647100,0.244000,3869.053700,6.160000,0.254900,6.182835,-0.000600,0.001900,1011.875912,73.919821,Balanced_Maintenance
Asia,2018.000000,0.428500,0.049200,0.648500,0.250900,4196.005600,6.320000,0.256900,5.392167,-0.000600,0.002000,1028.887324,75.839811,Balanced_Maintenance
Asia,2019.000000,0.428000,0.052100,0.650000,0.258000,4597.228900,6.510000,0.259000,5.598144,-0.000500,0.002100,1049.530612,78.119956,Balanced_Maintenance
Asia,2020.000000,0.427400,0.040200,0.651700,0.265000,4268.680900,6.350000,0.261100,-22.772733,-0.000600,0.002100,1036.060870,76.200055,Balanced_Maintenance
Asia,2021.000000,0.426800,0.048900,0.653600,0.271800,4685.180000,6.560000,0.263400,21.618673,-0.000600,0.002300,1057.700730,78.719851,Capacity_Expansion
Asia,2022.000000,0.426200,0.059900,0.655600,0.278700,6571.974500,7.470000,0.265800,22.786653,-0.000600,0.002400,1140.538462,89.640043,Balanced_Maintenance
Asia,2023.000000,0.426800,0.068100,0.657000,0.278700,8159.087200,8.240000,0.265800,13.518131,0.000600,0.000000,1195.124260,98.880090,Balanced_Maintenance
Asia,2024.000000,0.427300,0.070000,0.658100,0.278700,8556.214100,8.430000,0.265800,5.141205,0.000500,0.000000,1206.590909,101.160105,Balanced_Maintenance
Asia,2025.000000,0.427300,0.070600,0.658100,0.278700,8556.214100,8.430000,0.265800,0.868337,0.000000,0.000000,1203.393258,101.159890,Balanced_Maintenance
Asia,2026.000000,0.427300,0.071100,0.658100,0.278700,8556.214100,8.430000,0.265800,0.736681,0.000000,0.000000,1205.486034,101.160097,Balanced_Maintenance
Oceania,2000.000000,0.504900,0.099100,0.851100,0.201700,21908.996800,20.040000,0.266200,0.000000,0.000000,0.000000,1278.056271,240.479980,Balanced_Maintenance
Oceania,2001.000000,0.505000,0.099100,0.851500,0.209000,19733.651000,18.620000,0.266400,1.323037,0.000100,0.000200,1254.976347,223.439986,Balanced_Maintenance
Oceania,2002.000000,0.505500,0.103100,0.852800,0.215900,20335.096000,19.010000,0.266400,5.198647,0.000500,0.000000,1261.376020,228.120007,Premium_Retention
Oceania,2003.000000,0.506100,0.111100,0.854100,0.222600,23757.589800,21.240000,0.266300,9.000125,0.000600,-0.000100,1295.220580,254.880046,Premium_Retention
Oceania,2004.000000,0.506600,0.123100,0.855200,0.228900,30886.050100,25.880000,0.266100,12.030766,0.000500,-0.000200,1352.656009,310.560047,Premium_Retention
Oceania,2005.000000,0.507300,0.131600,0.856200,0.234900,34535.207300,28.260000,0.265800,8.190795,0.000700,-0.000300,1377.632071,339.120050,Premium_Retention
Oceania,2006.000000,0.508100,0.139100,0.857500,0.240400,36658.824300,29.640000,0.265300,7.180254,0.000800,-0.000500,1390.670088,355.679962,Premium_Retention
Oceania,2007.000000,0.509100,0.149300,0.859000,0.245700,41128.247700,32.550000,0.264800,9.277720,0.001000,-0.000500,1415.888434,390.599955,Premium_Retention
Oceania,2008.000000,0.510100,0.163100,0.860300,0.250500,49811.206700,38.200000,0.264100,11.463610,0.001000,-0.000700,1458.026083,458.399941,Premium_Retention
Oceania,2009.000000,0.511100,0.164700,0.861300,0.255100,42954.849500,33.740000,0.263300,3.057943,0.001000,-0.000800,1425.262570,404.880016,Premium_Retention
Oceania,2010.000000,0.512000,0.180000,0.862200,0.259600,52313.893900,39.830000,0.262400,11.029093,0.000900,-0.000900,1468.753704,477.960049,Premium_Retention
Oceania,2011.000000,0.513100,0.195700,0.863300,0.264000,62799.389500,46.660000,0.261500,10.242773,0.001100,-0.000900,1508.566598,559.920055,Premium_Retention
Oceania,2012.000000,0.514200,0.207700,0.864500,0.268300,68301.440300,50.240000,0.260600,7.990711,0.001100,-0.000900,1526.897154,602.880005,Premium_Retention
Oceania,2013.000000,0.515400,0.216000,0.865700,0.272600,68476.678800,50.350000,0.259700,5.812166,0.001200,-0.000900,1527.696636,604.200052,Premium_Retention
Oceania,2014.000000,0.516500,0.219700,0.867200,0.277000,62817.206200,46.670000,0.258900,3.265635,0.001100,-0.000800,1508.834455,560.040045,Premium_Retention
Oceania,2015.000000,0.517700,0.222300,0.868800,0.281700,56970.361300,42.860000,0.258200,2.642233,0.001200,-0.000700,1487.362360,514.319999,Premium_Retention
Oceania,2016.000000,0.518600,0.222600,0.870200,0.286600,50084.444100,38.380000,0.257600,1.704038,0.000900,-0.000600,1459.018965,460.559967,Premium_Retention
Oceania,2017.000000,0.519500,0.232900,0.871300,0.291500,54117.547700,41.010000,0.257000,6.341167,0.000900,-0.000600,1475.960309,492.119999,Premium_Retention
Oceania,2018.000000,0.520300,0.241800,0.872300,0.296400,57410.173700,43.150000,0.256500,5.409164,0.000800,-0.000500,1489.021707,517.800001,Premium_Retention
Oceania,2019.000000,0.521000,0.244900,0.873000,0.301500,55194.758500,41.710000,0.255900,2.780124,0.000700,-0.000600,1480.390360,500.519966,Premium_Retention
Oceania,2020.000000,0.521200,0.191900,0.872700,0.306900,51983.452400,39.620000,0.255400,-20.657926,0.000200,-0.000500,1467.252757,475.440015,Premium_Retention
Oceania,2021.000000,0.521300,0.233000,0.872400,0.312600,60758.904400,45.330000,0.255000,21.588772,0.000100,-0.000400,1501.221219,543.960034,Premium_Retention
Oceania,2022.000000,0.522000,0.256100,0.873300,0.318200,65169.519100,48.200000,0.254700,11.336661,0.000700,-0.000300,1516.593081,578.399967,Premium_Retention
Oceania,2023.000000,0.522600,0.270100,0.874900,0.318200,65058.377300,48.130000,0.254700,8.055571,0.000600,0.000000,1516.261529,577.560020,Premium_Retention
Oceania,2024.000000,0.523100,0.272600,0.876000,0.318200,64603.985600,47.830000,0.254700,2.959563,0.000500,0.000000,1514.882714,573.959972,Premium_Retention
Oceania,2025.000000,0.523100,0.275000,0.876000,0.318200,64603.985600,47.830000,0.254700,0.868120,0.000000,0.000000,1514.724934,573.959995,Premium_Retention
Oceania,2026.000000,0.523100,0.277000,0.876000,0.318200,64603.985600,47.830000,0.254700,0.736889,0.000000,0.000000,1514.840740,573.959993,Premium_Retention
